model,run,condition,seed,subset,n_samples,bleu,chrf,chrfpp,source_file
nllb-600m,exp1,RANDOM-4K,789,tatoeba,1000,3.71,27.75,24.99,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,123,combined,1455,22.61,41.2,39.23,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,123,structured,455,92.12,95.3,95.14,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,123,tatoeba,1000,3.8,28.33,25.42,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed123/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,2024,combined,1455,22.01,41.03,39.12,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,2024,structured,455,91.47,95.26,95.03,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,2024,tatoeba,1000,3.95,28.19,25.39,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed2024/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,42,combined,1455,20.96,40.66,38.67,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,42,structured,455,84.6,92.58,92.2,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,42,tatoeba,1000,4.19,28.25,25.4,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed42/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,456,combined,1455,22.48,41.13,39.27,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,456,structured,455,91.82,95.31,95.1,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,456,tatoeba,1000,3.86,28.17,25.44,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed456/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,789,combined,1455,24.14,41.62,39.65,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,789,structured,455,93.31,96.7,96.55,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,RANDOM-6K_STRUCTURED-4K,789,tatoeba,1000,3.88,28.4,25.45,experiments/results/rebuttal_rerun/nllb-600m/exp1/RANDOM-6K_STRUCTURED-4K/seed789/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,123,combined,1455,18.59,29.37,28.86,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,123,structured,455,89.64,94.57,94.17,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,123,tatoeba,1000,0.54,13.33,12.43,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed123/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,2024,combined,1455,21.12,29.18,28.91,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,2024,structured,455,90.73,94.6,94.3,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,2024,tatoeba,1000,0.57,12.69,12.01,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed2024/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,42,combined,1455,21.06,29.33,29.05,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,42,structured,455,91.74,95.71,95.4,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,42,tatoeba,1000,0.64,12.83,12.11,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed42/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,456,combined,1455,20.43,29.53,29.14,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed456/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,456,structured,455,91.94,95.44,95.3,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed456/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,456,tatoeba,1000,0.51,12.93,12.07,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed456/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,789,combined,1455,20.97,29.11,28.57,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed789/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,789,structured,455,91.51,94.95,94.76,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed789/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-2K,789,tatoeba,1000,0.55,12.63,11.51,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-2K/seed789/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,123,combined,1455,20.65,29.13,28.68,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed123/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,123,structured,455,77.94,94.45,94.75,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed123/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,123,tatoeba,1000,0.5,12.51,11.48,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed123/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,2024,combined,1455,15.8,27.84,27.35,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed2024/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,2024,structured,455,91.93,95.97,95.74,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed2024/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,2024,tatoeba,1000,0.37,11.73,10.75,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed2024/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,42,combined,1455,20.23,28.85,28.32,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed42/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,42,structured,455,93.69,96.54,96.4,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed42/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,42,tatoeba,1000,0.44,11.97,10.92,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed42/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,456,combined,1455,16.69,28.6,28.06,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed456/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,456,structured,455,91.21,95.29,94.97,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed456/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,456,tatoeba,1000,0.44,12.5,11.53,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed456/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,789,combined,1455,14.72,27.42,27.02,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed789/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,789,structured,455,92.95,95.74,95.62,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed789/test_predictions.jsonl
nllb-600m,exp1,STRUCTURED-4K-ONLY,789,tatoeba,1000,0.33,11.57,10.71,experiments/results/rebuttal_rerun/nllb-600m/exp1/STRUCTURED-4K-ONLY/seed789/test_predictions.jsonl
